Sorszám,Bevétel,Hossz,IMDb pontszám
1,677,150,8.1
2,315,133,8.3
3,106,107,8.0
4,322,129,8.1
5,368,133,7.9
6,232,101,8.4
7,325,108,8.6
8,532,121,8.2
9,257,116,7.8
10,380,130,7.7
11,146,98,8.2
12,215,100,8.3
13,365,123,8.1
14,900,195,8.8
15,440,135,7.7
16,275,109,7.9
17,389,128,8.0
18,296,114,7.6
19,410,121,8.2
20,335,118,8.1
21,290,115,8.0
22,410,128,8.3
23,180,105,7.8
24,320,122,8.1
25,500,140,8.5
26,250,110,7.9
27,420,125,8.2
28,150,100,7.6
29,370,130,8.4
30,280,112,7.7
31,460,135,8.1
32,200,107,8.0
33,340,123,8.3
34,550,145,8.6
35,310,119,8.2
36,240,108,7.9
37,390,132,8.5
38,470,138,8.3
39,330,126,8.1
40,180,105,7.7
41,310,118,8.0
42,420,131,8.2
43,260,112,7.8
44,400,134,8.4
45,320,120,8.1
46,280,115,7.9
47,360,128,8.2
48,490,142,8.6
49,220,106,8.0
50,340,124,8.3
